case,field,security_level,pow_bits,starting_rate,num_variables,poly_dim,evaluations,initial_folding_factor,folding_factor,unique_decoding,run_count,repetitions,hash,prover_ms,verify_ms,argument_size_bytes,argument_size_kb,prover_hashes,verifier_hashes,ldt_prover_ms,ldt_verify_ms,ldt_argument_size_bytes,ldt_argument_size_kb,ldt_prover_hashes,ldt_verifier_hashes
ff_goldilocks3_d4_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,4,16,1,4,4,True,3,1000,Blake3,25.952908666666666,0.2885852903333333,33672,32.8828125,922003,263,18.346103666666664,0.306428015,33480,32.6953125,1218323,263
ff_goldilocks3_d5_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,5,32,1,4,4,True,3,1000,Blake3,30.920980333333336,0.372758783,33744,32.953125,1113671,265,24.936924333333334,0.343598338,33552,32.765625,1691351,265
ff_goldilocks3_d6_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,6,64,1,4,4,True,3,1000,Blake3,18.495247,0.3247615093333333,33840,33.046875,603375,269,7.157227333333333,0.36436267266666666,33648,32.859375,415439,269
ff_goldilocks3_d7_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,7,128,1,4,4,True,3,1000,Blake3,24.157366,0.37459609633333335,33984,33.1875,994447,277,7.122549666666667,0.3862463213333333,33792,33.0,428687,277
ff_goldilocks3_d8_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,8,256,1,4,4,True,3,1000,Blake3,45.029561,0.6227294226666666,79608,77.7421875,2072174,428,24.026126333333334,0.612731131,79416,77.5546875,1566734,428
ff_goldilocks3_d9_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,9,512,1,4,4,True,3,1000,Blake3,32.113946,0.6577980560000001,79712,77.84375,1416510,476,14.875051666666668,0.6101933333333334,79584,77.71875,927710,476
ff_goldilocks3_d10_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,10,1024,1,4,4,True,3,1000,Blake3,29.604829333333335,0.6517183876666667,80768,78.875,1157246,570,9.903762666666667,0.6522720206666667,80288,78.40625,532654,572
ff_goldilocks3_d11_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,11,2048,1,4,4,True,3,1000,Blake3,34.73039833333333,0.9078219103333334,83472,81.515625,1022350,734,44.310034,0.7955283446666667,83440,81.484375,2864414,740
ff_goldilocks3_d12_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,12,4096,1,4,4,True,3,1000,Blake3,55.604569999999995,1.4694039206666667,132584,129.4765625,1641837,1198,11.502650666666668,1.4268442326666666,132872,129.7578125,363405,1194
ff_goldilocks3_d13_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,13,8192,1,4,4,True,3,1000,Blake3,92.84074833333334,1.6376406843333333,143152,139.796875,3677101,1576,45.690786333333335,1.5680282503333334,143792,140.421875,2391885,1588
ff_goldilocks3_d14_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,14,16384,1,4,4,True,3,1000,Blake3,61.281265,1.699929074,155504,151.859375,1049693,1985,42.987202,1.7412758836666666,155024,151.390625,1428733,1977
ff_goldilocks3_d15_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,15,32768,1,4,4,True,3,1000,Blake3,93.35144733333334,1.7907119226666666,170048,166.0625,1767725,2453,62.009263,1.777088534,169344,165.375,1217597,2429
ff_goldilocks3_d16_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,16,65536,1,4,4,True,3,1000,Blake3,189.88267966666666,2.2991248753333333,234744,229.2421875,4294540,3392,126.34013366666667,2.232079836,235768,230.2421875,2154860,3432
ff_goldilocks3_d17_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,17,131072,1,4,4,True,3,1000,Blake3,266.85056933333334,2.405831350666667,254496,248.53125,2172348,4011,213.92526999999998,2.5021413016666667,251840,245.9375,1220332,3932
ff_goldilocks3_d18_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,18,262144,1,4,4,True,3,1000,Blake3,510.40871000000004,2.473360055,274112,267.6875,4260508,4622,503.17846033333336,2.528898153666667,272896,266.5,6210108,4593
ff_goldilocks3_d19_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,19,524288,1,4,4,True,3,1000,Blake3,928.0512633333333,2.687932093666667,291216,284.390625,2779884,5157,871.357734,2.6610661296666667,293104,286.234375,2494828,5222
ff_goldilocks3_d20_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,20,1048576,1,4,4,True,3,1000,Blake3,1828.4141386666668,3.0706668080000004,373608,364.8515625,1384299,6643,1811.4322336666667,3.1416657913333332,373608,364.8515625,5400955,6650
ff_goldilocks3_d21_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,21,2097152,1,4,4,True,3,1000,Blake3,3957.392698333333,3.3192741913333332,394064,384.828125,4500811,7280,3723.9938436666666,3.2990684163333333,393904,384.671875,3155211,7282
ff_goldilocks3_d22_multilinear_unique_decoding_1thread_avg3,Goldilocks3,128,20,1,22,4194304,1,4,4,True,3,1000,Blake3,8001.886847666667,3.2854744489999996,417232,407.453125,5413547,8002,7603.778520333333,3.4271423186666667,418288,408.484375,5719835,8042
